Date,User,Message
2020-01-18 16:32:08,"강강강","주인공 안오나"
2020-01-18 16:32:08,"승모","스코도 포항은 내려오는거 같던데"
2020-01-18 16:32:10,"승모","ㅋㅋㅋ"
2020-01-18 16:32:14,"강강강","부산까진 안가나"
2020-01-18 16:32:32,"스코","포항간다ㅋㅋㅋ"
2020-01-18 16:32:38,"스코","부산은 몰게씀ㅠㅠ"
2020-01-18 16:32:54,"스코","진짜 이사하니까 부산 갈 일이 없네ㅠ"
2020-01-18 16:32:59,"승모","민성이 오면 스코 부산에서 같이 보면 좋을듯"
2020-01-18 16:33:50,"스코","언제 여유 생기것제ㅋㅋㅋ"
2020-01-18 17:28:38,"강강강","머 안대면 다시 서울서"
2020-01-18 19:52:49,"김정식","스코뒷얘기뭔데 뭐있나 ㅋㅋ"
2020-01-18 20:03:26,"스코","뭐 없다ㅋㅋ"
2020-01-18 21:03:31,"강강강","머있겠지"
2020-01-18 21:03:35,"강강강","그래서 모여야댐"
2020-01-26 11:25:22,"김정식","ㅋㅋㅋ지금대전~~"
2020-01-26 14:41:37,"강강강","왠지모를 어색함이 느껴지는군 ㅋㅋㅋㅋㅋㅋ"
2020-01-26 14:45:32,"김정식","ㅋㅋㅋ"
2020-01-26 14:45:44,"김정식","잘먹고잘쉬는중"
2020-01-26 14:46:04,"김정식","일년치 예능다본듯.."
2020-01-26 19:48:22,"강강강","꼬맹이들도 있었음??"
2020-01-26 19:48:31,"강강강","그럼 완전 예능이었을텐데"
2020-01-26 22:14:45,"김정식","꼬쟁이들 있지"
2020-01-26 22:14:53,"김정식","분위기메이커들ㅋㅋ"
2020-01-26 22:15:07,"김정식","인자 서울감..ㅋㅋ 길고긴첫명절이였다"
2020-01-27 02:02:50,"강강강","고생했겠군"
2020-01-27 02:02:54,"강강강","1박했는갑네"
2020-02-01 00:47:16,"스코","식이 마 생일 축하한다~"
2020-02-01 01:19:37,"강강강","식이 마 생일 축하한다!"
2020-02-01 08:24:42,"승모","해피벌스데이다임마"
2020-02-01 08:52:28,"김정식","ㅋㅋㅋ임마들 감사감사"
2020-02-21 22:12:49,"김정식","코로나 미친듯"
2020-02-21 22:12:51,"김정식","다들 건강하나"
2020-02-21 22:17:37,"승모","살아는있음"
2020-02-21 22:25:16,"스코","아직은"
2020-02-22 02:51:27,"강강강","88함"
2020-03-25 14:15:57,"강강강","샵검색: #한타 바이러스"
2020-03-25 14:16:01,"강강강","중국 미친듯"
2020-03-25 14:18:09,"스코","???"
2020-03-25 14:18:14,"스코","이건 또 머냐...???"
2020-03-25 14:19:01,"김정식","중국이 또 중국했구만"
2020-03-25 14:19:04,"스코","그래도 이건 백신이 있는거구만"
2020-03-25 14:19:06,"스코","다행다행"
2020-03-25 14:19:11,"스코","식이 서울 올라왔나??"
2020-03-25 14:19:23,"김정식","예압"
2020-03-25 14:19:25,"김정식","꼐압"
2020-03-25 14:21:23,"강강강","조만간 어셈블 해야겠구만"
2020-03-25 14:21:38,"스코","오!"
2020-03-25 14:21:45,"스코","서울 왔는데 코로나.."
2020-03-25 14:23:24,"스코","조만간 말고"
2020-03-25 14:23:31,"스코","구체적인 날짜제시 ㄱㄱ여"
2020-03-25 14:52:22,"김정식","꼬로나 좀 잠잠해지면?"
2020-03-25 14:52:37,"스코","내년에나 보겠구만.."
2020-03-25 14:52:37,"스코","ㅋㅋㅋ"
2020-03-25 14:53:42,"김정식","ㅋㅋㅋ"
2020-03-25 14:53:52,"김정식","내년에 보면 다행일수도"
